time_period_start,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count
2022-02-15T00:00:00.0000000Z,2022-02-15T06:00:00.0000000Z,42535.94,43781.97,42427.03,43573.44,9644.63533,246498
2022-02-15T06:00:00.0000000Z,2022-02-15T12:00:00.0000000Z,43573.45,44425.85,43521.75,44233.6,11426.30468,266448
2022-02-15T12:00:00.0000000Z,2022-02-15T18:00:00.0000000Z,44233.6,44500,43846.07,43925,10301.12251,269682
2022-02-15T18:00:00.0000000Z,2022-02-16T00:00:00.0000000Z,43924.99,44751.4,43870.13,44544.86,6716.79845,207799
2022-02-16T00:00:00.0000000Z,2022-02-16T06:00:00.0000000Z,44544.85,44549.97,43673.92,44056.97,7276.34592,201234
2022-02-16T06:00:00.0000000Z,2022-02-16T12:00:00.0000000Z,44056.97,44327.55,43876,44173.15,5046.55687,168264
2022-02-16T12:00:00.0000000Z,2022-02-16T18:00:00.0000000Z,44173.15,44214.11,43307,43573.76,9130.60353,264618
2022-02-16T18:00:00.0000000Z,2022-02-17T00:00:00.0000000Z,43573.76,44376.58,43506.64,43873.56,7018.36638,189629
2022-02-17T00:00:00.0000000Z,2022-02-17T06:00:00.0000000Z,43873.56,44164.71,43350,43617.4,6178.66288,168855
2022-02-17T06:00:00.0000000Z,2022-02-17T12:00:00.0000000Z,43617.41,44022.36,42900,43164.05,8514.1381,216226
2022-02-17T12:00:00.0000000Z,2022-02-17T18:00:00.0000000Z,43164.05,43340.65,41600,41746.21,17100.8737,345775
2022-02-17T18:00:00.0000000Z,2022-02-18T00:00:00.0000000Z,41746.21,41868.83,40073.21,40515.7,15452.32026,336802
2022-02-18T00:00:00.0000000Z,2022-02-18T06:00:00.0000000Z,40515.71,40950,40300,40625.63,6991.83579,183671
2022-02-18T06:00:00.0000000Z,2022-02-18T12:00:00.0000000Z,40625.62,40959.88,40101.01,40178.94,7735.4594,238123
2022-02-18T12:00:00.0000000Z,2022-02-18T18:00:00.0000000Z,40178.95,40799,39450,40022.97,22845.97187,414661
2022-02-18T18:00:00.0000000Z,2022-02-19T00:00:00.0000000Z,40022.97,40340,39711.31,39974.44,6272.65535,189427
2022-02-19T00:00:00.0000000Z,2022-02-19T06:00:00.0000000Z,39974.45,40307.22,39915.89,40237.75,3643.92157,124198
2022-02-19T06:00:00.0000000Z,2022-02-19T12:00:00.0000000Z,40237.76,40444.32,39648.6,39842.54,5481.27537,174564
2022-02-19T12:00:00.0000000Z,2022-02-19T18:00:00.0000000Z,39842.53,40345.62,39639.03,40142.43,6126.03865,184211
2022-02-19T18:00:00.0000000Z,2022-02-20T00:00:00.0000000Z,40142.43,40203.88,39800,40079.17,2787.48658,103582
