time_period_start,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count
2018-01-31T12:00:00.0000000Z,2018-01-31T18:00:00.0000000Z,10294.97,10425.85,9860,10044.35,3959.730008,45031
2018-01-31T18:00:00.0000000Z,2018-02-01T00:00:00.0000000Z,10044.35,10298,10005,10285.1,1963.799204,25398
2018-02-01T00:00:00.0000000Z,2018-02-01T06:00:00.0000000Z,10285.1,10335,9959.04,10238,3442.418806,40785
2018-02-01T06:00:00.0000000Z,2018-02-01T12:00:00.0000000Z,10230.12,10235.94,9500,9591.44,8248.562456,71113
2018-02-01T12:00:00.0000000Z,2018-02-01T18:00:00.0000000Z,9591.45,9665.58,9011.51,9102.33,11124.45323,101376
2018-02-01T18:00:00.0000000Z,2018-02-02T00:00:00.0000000Z,9102.33,9560.01,8750.99,9224.52,10749.32982,102746
2018-02-02T00:00:00.0000000Z,2018-02-02T06:00:00.0000000Z,9224.52,9250,8734,8779.02,8207.010969,81415
2018-02-02T06:00:00.0000000Z,2018-02-02T12:00:00.0000000Z,8793.49,8889,8250.92,8299.75,12014.79167,102181
2018-02-02T12:00:00.0000000Z,2018-02-02T18:00:00.0000000Z,8299.75,9247.79,8010.02,8706.65,22674.66168,190375
2018-02-02T18:00:00.0000000Z,2018-02-03T00:00:00.0000000Z,8706.73,8967.45,8501,8873.03,7075.162657,79440
2018-02-03T00:00:00.0000000Z,2018-02-03T06:00:00.0000000Z,8873.03,8920,8229,8516.3,7432.175169,87217
2018-02-03T06:00:00.0000000Z,2018-02-03T12:00:00.0000000Z,8519.84,9123,8450.63,9099.87,6881.408186,79814
2018-02-03T12:00:00.0000000Z,2018-02-03T18:00:00.0000000Z,9099.87,9459.6,8969,9211.31,9459.822498,99722
2018-02-03T18:00:00.0000000Z,2018-02-04T00:00:00.0000000Z,9203,9473.01,9022,9199.96,4951.594882,60766
2018-02-04T00:00:00.0000000Z,2018-02-04T06:00:00.0000000Z,9199.96,9260.42,8901.01,9260.42,3944.246586,51813
2018-02-04T06:00:00.0000000Z,2018-02-04T12:00:00.0000000Z,9260.32,9368,8687.45,8691.99,6619.732783,74043
2018-02-04T12:00:00.0000000Z,2018-02-04T18:00:00.0000000Z,8691.99,8894.12,8300,8481.95,10069.17541,107410
2018-02-04T18:00:00.0000000Z,2018-02-05T00:00:00.0000000Z,8474.68,8585,7930,8184.81,11381.15367,122868
2018-02-05T00:00:00.0000000Z,2018-02-05T06:00:00.0000000Z,8179.99,8382.8,7910,8179.93,8261.07949,85093
2018-02-05T06:00:00.0000000Z,2018-02-05T12:00:00.0000000Z,8179.9,8300,7510,7578,11173.86844,101261
2018-02-05T12:00:00.0000000Z,2018-02-05T18:00:00.0000000Z,7572.32,7788.87,7074,7089.99,16543.19456,136754
2018-02-05T18:00:00.0000000Z,2018-02-06T00:00:00.0000000Z,7089.98,7543.99,6625,6939.99,27425.04009,210402
2018-02-06T00:00:00.0000000Z,2018-02-06T06:00:00.0000000Z,6939.63,7150,6022,6497.98,25371.03581,189813
2018-02-06T06:00:00.0000000Z,2018-02-06T12:00:00.0000000Z,6507.99,6960,6000.01,6559,25146.83874,192636
2018-02-06T12:00:00.0000000Z,2018-02-06T18:00:00.0000000Z,6559,7462,6435.99,7007.03,28942.42028,225540
2018-02-06T18:00:00.0000000Z,2018-02-07T00:00:00.0000000Z,7009.41,7878,6970,7652.14,20741.20548,178007
2018-02-07T00:00:00.0000000Z,2018-02-07T06:00:00.0000000Z,7655.02,7770,7150.01,7420.01,14100.46052,116178
2018-02-07T06:00:00.0000000Z,2018-02-07T12:00:00.0000000Z,7420,8274,7242.02,8151.53,16334.15938,141430
2018-02-07T12:00:00.0000000Z,2018-02-07T18:00:00.0000000Z,8138.05,8476,7867,8284.29,17153.1119,149307
2018-02-07T18:00:00.0000000Z,2018-02-08T00:00:00.0000000Z,8284.31,8399,7531.11,7599,13190.72869,107978
2018-02-08T00:00:00.0000000Z,2018-02-08T06:00:00.0000000Z,7599,7844,7572.09,7784.02,1521.537318,12417
2018-02-09T06:00:00.0000000Z,2018-02-09T12:00:00.0000000Z,7789.9,8395,7789.9,8280.11,3483.805239,29747
2018-02-09T12:00:00.0000000Z,2018-02-09T18:00:00.0000000Z,8288.03,8718,8201.95,8625,9319.495273,109107
2018-02-09T18:00:00.0000000Z,2018-02-10T00:00:00.0000000Z,8627,8738,8403,8683.92,7679.610313,134237
2018-02-10T00:00:00.0000000Z,2018-02-10T06:00:00.0000000Z,8683.93,8997,8601,8842.98,10578.68163,121995
2018-02-10T06:00:00.0000000Z,2018-02-10T12:00:00.0000000Z,8842.98,9065.78,8470,8635.99,12316.95348,134159
2018-02-10T12:00:00.0000000Z,2018-02-10T18:00:00.0000000Z,8626.12,8800,8120,8391.92,15374.60472,156825
2018-02-10T18:00:00.0000000Z,2018-02-11T00:00:00.0000000Z,8388.99,8572,8125,8533.98,11111.27282,124599
2018-02-11T00:00:00.0000000Z,2018-02-11T06:00:00.0000000Z,8533.99,8549,7910.01,8100,11393.82912,129114
2018-02-11T06:00:00.0000000Z,2018-02-11T12:00:00.0000000Z,8100,8190,7726.53,8140,13017.90701,140273
2018-02-11T12:00:00.0000000Z,2018-02-11T18:00:00.0000000Z,8139.99,8500.85,8110,8202.84,12911.9725,155065
2018-02-11T18:00:00.0000000Z,2018-02-12T00:00:00.0000000Z,8209,8387,8015,8063.88,7701.479328,100174
2018-02-12T00:00:00.0000000Z,2018-02-12T06:00:00.0000000Z,8063.82,8570,8053,8385.01,10539.25341,126603
2018-02-12T06:00:00.0000000Z,2018-02-12T12:00:00.0000000Z,8385.01,8840.82,8361,8640.01,11539.17581,135415
2018-02-12T12:00:00.0000000Z,2018-02-12T18:00:00.0000000Z,8640.01,8780,8502,8768.07,9591.747147,107618
2018-02-12T18:00:00.0000000Z,2018-02-13T00:00:00.0000000Z,8768.01,8989,8639.24,8903,10317.67412,108024
2018-02-13T00:00:00.0000000Z,2018-02-13T06:00:00.0000000Z,8903,8950,8554.87,8629.95,9878.66787,107990
2018-02-13T06:00:00.0000000Z,2018-02-13T12:00:00.0000000Z,8625.35,8759,8351,8531.47,11148.68539,115201
2018-02-13T12:00:00.0000000Z,2018-02-13T18:00:00.0000000Z,8525.08,8680,8450,8622.66,7723.422882,93307
2018-02-13T18:00:00.0000000Z,2018-02-14T00:00:00.0000000Z,8616.08,8725,8461,8539.9,6704.196813,85395
2018-02-14T00:00:00.0000000Z,2018-02-14T06:00:00.0000000Z,8535.17,8869,8533,8845,7440.002855,101494
2018-02-14T06:00:00.0000000Z,2018-02-14T12:00:00.0000000Z,8845,8930.65,8757.5,8927,7545.067428,115567
2018-02-14T12:00:00.0000000Z,2018-02-14T18:00:00.0000000Z,8929.96,9350,8924.87,9293.05,17015.43092,199690
2018-02-14T18:00:00.0000000Z,2018-02-15T00:00:00.0000000Z,9293.05,9489.6,9170,9449.99,8811.451669,98146
2018-02-15T00:00:00.0000000Z,2018-02-15T06:00:00.0000000Z,9449.98,9759,9301.5,9670,11792.22682,152707
2018-02-15T06:00:00.0000000Z,2018-02-15T12:00:00.0000000Z,9670,9925.17,9371.56,9566.56,15783.8153,178316
2018-02-15T12:00:00.0000000Z,2018-02-15T18:00:00.0000000Z,9560.01,10089.99,9560.01,10070.18,11549.54803,140462
2018-02-15T18:00:00.0000000Z,2018-02-16T00:00:00.0000000Z,10070.18,10219.5,9832.95,10000.09,13302.00657,136864
2018-02-16T00:00:00.0000000Z,2018-02-16T06:00:00.0000000Z,10000.89,10323.37,9890,10055.03,10298.75204,114732
